,char,area,perimeter,roundness,ratio
1253,F,1226.0,221.0538227558136,0.315125864551274,1.696969696969697
1254,F,1254.5,254.61017167568207,0.24305737631482,1.5405405405405406
1255,F,1404.5,267.2964633703232,0.24690219889533724,1.5789473684210527
1256,F,1158.0,230.71067690849304,0.273251661885773,1.8709677419354838
1257,F,1242.0,240.22539567947388,0.2703170258327343,1.4736842105263157
1258,F,1235.0,238.22539567947388,0.2733257088422002,1.4736842105263157
1259,F,1147.5,240.46803629398346,0.2492456686044645,2.142857142857143
1260,F,1266.5,230.46803629398346,0.29948386595568716,1.5555555555555556
1261,F,1272.0,233.53910398483276,0.29292573712362036,1.5135135135135136
1262,F,1268.5,246.1248904466629,0.26300804876227757,1.6764705882352942
1263,F,1362.5,220.46803629398346,0.352074752474856,1.6388888888888888
1264,F,1279.5,224.1248904466629,0.3199261568692148,1.5833333333333333
1265,F,1081.5,229.63960921764374,0.2575861837430299,1.8666666666666667
1266,F,1372.5,213.29646337032318,0.378908792774438,1.6388888888888888
1267,F,1291.5,233.63960921764374,0.29716051857425224,1.6764705882352942
1268,F,1368.5,167.9827550649643,0.6091230604978106,1.6857142857142857
1269,F,1245.0,240.22539567947388,0.2709699655086588,1.4736842105263157
1270,F,1404.5,267.2964633703232,0.24690219889533724,1.5789473684210527
1271,F,1403.5,268.1248904466629,0.24520413645559802,1.5789473684210527
1272,F,993.0,223.0538227558136,0.2506799194655576,2.0714285714285716
1273,F,1401.0,267.0538227558136,0.24673466870584185,1.5789473684210527
1274,F,1269.5,241.63960921764374,0.2730776112420988,1.6764705882352942
1275,F,1385.5,270.1248904466629,0.2384882363905657,1.5128205128205128
1276,F,1206.5,223.29646337032318,0.3039157982757296,1.8709677419354838
1277,F,1273.5,245.29646337032318,0.26583123891194127,1.7058823529411764
1278,F,1280.5,236.81118214130402,0.28679053271200133,1.6764705882352942
1279,F,1352.0,228.36753106117249,0.32560991258573113,1.6388888888888888
1280,F,1201.5,224.81118214130402,0.2985916068559244,1.8709677419354838
1281,F,1154.0,237.0538227558136,0.25792980026859325,1.8709677419354838
1282,F,1173.0,221.39696860313416,0.3005690863488335,1.8709677419354838
1283,F,1235.5,243.78174459934235,0.26111392181632737,1.4736842105263157
1284,F,1258.5,253.4385987520218,0.2460919127472124,1.5833333333333333
1285,F,1251.0,243.1959581375122,0.26566493969546107,1.4736842105263157
1286,F,1093.0,231.53910398483276,0.2560714170109682,1.9310344827586208
1287,F,1234.0,241.0538227558136,0.26673300198312194,1.4473684210526316
1288,F,1256.5,255.92387998104095,0.24095198568661755,1.5405405405405406
1289,F,997.5,222.46803629398346,0.2531438034722725,2.0714285714285716
1290,F,1253.5,230.1248904466629,0.297294440729421,1.4102564102564104
1291,F,1229.5,222.46803629398346,0.31202035726231486,1.696969696969697
1292,F,1410.0,272.02438521385193,0.239327760621152,1.5789473684210527
1293,F,1414.5,269.63960921764374,0.24435724108432139,1.5789473684210527
1294,F,1406.0,271.53910398483276,0.23950258151644216,1.5789473684210527
1295,F,1180.0,244.36753106117249,0.248190208959108,1.78125
1296,F,1376.0,168.56854152679443,0.6082120423750166,1.6857142857142857
1297,F,1091.0,229.39696860313416,0.2603988373745809,2.0
1298,F,1240.5,240.46803629398346,0.26944597115802893,1.4736842105263157
1299,F,1357.5,190.32590091228485,0.47068861012392843,1.6571428571428573
1300,F,1420.0,266.3675310611725,0.25137113912338394,1.5789473684210527
1301,F,1094.5,229.15432798862457,0.2617877238762168,1.8333333333333333
1302,F,1172.5,225.15432798862457,0.2904971605347754,1.8387096774193548
1303,F,1400.5,267.2964633703232,0.24619902424558193,1.5128205128205128
1304,F,1241.0,241.53910398483276,0.2671692793961082,1.4736842105263157
1305,F,1160.0,220.56854152679443,0.2994749393513965,1.8387096774193548
1306,F,1377.5,173.63960921764374,0.5738305256568144,1.6388888888888888
1307,F,1266.5,229.4385987520218,0.30217732356482424,1.5405405405405406
1308,F,1211.0,223.39696860313416,0.30477492373752973,1.8125
1309,F,1246.5,241.29646337032318,0.268893317326009,1.4736842105263157
1310,F,1117.5,234.81118214130402,0.2545655443919905,2.107142857142857
1311,F,1133.5,239.29646337032318,0.24862145495861596,2.107142857142857
1312,F,1186.5,227.29646337032318,0.2884509842874406,1.8709677419354838
1313,F,1373.5,167.15432798862457,0.6174233522029398,1.6857142857142857
1314,F,1405.5,268.46803629398346,0.2449262408748089,1.5789473684210527
1315,F,1374.5,212.1248904466629,0.38366406287494675,1.6388888888888888
1316,F,1198.0,222.22539567947388,0.3046906176340128,1.8387096774193548
1317,F,999.5,222.95331752300262,0.2525483642088429,2.0714285714285716
1318,F,1248.5,239.78174459934235,0.2727381904141153,1.5135135135135136
1319,F,1410.5,263.2964633703232,0.2555481131036814,1.5789473684210527
1320,F,1232.0,241.53910398483276,0.26523171008541924,1.4736842105263157
1321,F,1266.5,242.46803629398346,0.27057386361356434,1.6764705882352942
1322,F,1092.0,228.56854152679443,0.2625302569030996,1.7741935483870968
1323,F,1406.0,263.53910398483276,0.2542639737309372,1.5789473684210527
1324,F,1412.5,264.46803629398346,0.25364815916136957,1.5789473684210527
1325,F,1118.0,235.39696860313416,0.2534134791218755,2.185185185185185
1326,F,1110.5,235.63960921764374,0.25119536093970984,2.0714285714285716
1327,F,1268.0,232.36753106117249,0.2949565234864057,1.5833333333333333
1328,F,1249.0,249.53910398483276,0.25192708125258106,1.6
1329,F,1407.0,267.53910398483276,0.2468932407702336,1.5789473684210527
1330,F,1242.5,241.29646337032318,0.2680304426615052,1.5135135135135136
1331,F,1111.5,233.15432798862457,0.25681012562604166,2.1481481481481484
1332,F,1402.0,265.8822498321533,0.24909153159274905,1.5526315789473684
1333,F,1267.5,234.1248904466629,0.2904306408091006,1.6
1334,F,1353.5,228.1248904466629,0.3266649607767481,1.6857142857142857
1335,F,1070.0,227.88224983215332,0.25879293743458853,1.9655172413793103
1336,F,1170.0,223.39696860313416,0.29445636727738217,1.8387096774193548
1337,F,1179.0,220.56854152679443,0.30438013232353145,1.8709677419354838
1338,F,1405.5,271.78174459934235,0.2389901077971892,1.5789473684210527
1339,F,1131.5,237.29646337032318,0.2523839112780474,1.71875
1340,F,1098.5,235.15432798862457,0.2495075823608829,2.185185185185185
1341,F,1219.0,239.0538227558136,0.26791804103817085,1.6764705882352942
